Year;Country;Region;Energy type;Energy consumption (KWh);Energy consumption (MWh);Energy consumption (TWh);Sector;;
2021;France;Normandie;Gas;231037233.7;231037;0.2310372337;Services;;
2021;France;Normandie;Gas;98543056.21;98543;0.09854305621;Services;;
2021;France;Normandie;Gas;27814000.56;27814;0.02781400056;Services;;
2021;France;Hauts-de-France;Gas;2858254.7;2858;0.0028582547;Agriculture;;
2021;France;Hauts-de-France;Gas;1751686107;1751686;1.751686107;Industry;;
2021;France;Hauts-de-France;Gas;200961195;200961;0.200961195;Industry;;
2021;France;Hauts-de-France;Gas;104270331.7;104270;0.1042703317;Industry;;
2021;France;Hauts-de-France;Gas;20399211.94;20399;0.02039921194;Services;;
2021;France;Hauts-de-France;Gas;115291032.1;115291;0.1152910321;Services;;
2021;France;Hauts-de-France;Gas;1058285.03;1058;0.00105828503;Services;;
2021;France;Hauts-de-France;Gas;54044933.69;54045;0.05404493369;Services;;
2021;France;Hauts-de-France;Gas;3971529.05;3972;0.00397152905;Services;;
2021;France;Hauts-de-France;Gas;322803864.6;322804;0.3228038646;Services;;
2021;France;Hauts-de-France;Gas;445449.88;445;0.00044544988;Services;;
2021;France;Hauts-de-France;Gas;1764578.95;1765;0.00176457895;Services;;
2021;France;Hauts-de-France;Gas;32146.15;32;3.214615E-5;Services;;
2021;France;Hauts-de-France;Gas;33273690.73;33274;0.03327369073;Services;;
2021;France;Hauts-de-France;Gas;355667688.3;355668;0.3556676883;Services;;
2021;France;Hauts-de-France;Gas;7956417.23;7956;0.00795641723;Services;;
2021;France;Hauts-de-France;Gas;22751669.88;22752;0.02275166988;Services;;
2021;France;Hauts-de-France;Gas;36443848.27;36444;0.03644384827;Agriculture;;
2021;France;Grand Est;Gas;66812798.22;66813;0.06681279822;Agriculture;;
2021;France;Grand Est;Gas;7063139.67;7063;0.00706313967;Industry;;
2021;France;Grand Est;Gas;20074432.41;20074;0.02007443241;Industry;;
2021;France;Grand Est;Gas;2264425488;2264425;2.264425488;Industry;;
2021;France;Grand Est;Gas;6128543.97;6129;0.00612854397;Services;;
2021;France;Grand Est;Gas;49110457.13;49110;0.04911045713;Services;;
2021;France;Grand Est;Gas;13550803.31;13551;0.01355080331;Services;;
2021;France;Grand Est;Gas;21639926.98;21640;0.02163992698;Services;;
2021;France;Grand Est;Gas;226690529.3;226691;0.2266905293;Services;;
2021;France;Grand Est;Gas;6170778.58;6171;0.00617077858;Services;;
2021;France;Grand Est;Gas;11705091.04;11705;0.01170509104;Services;;
2021;France;Grand Est;Gas;559474647.3;559475;0.5594746473;Industry;;
2021;France;Pays de la Loire;Gas;1832792.22;1833;0.00183279222;Industry;;
2021;France;Pays de la Loire;Gas;25394792.35;25395;0.02539479235;Industry;;
2021;France;Pays de la Loire;Gas;21805860.48;21806;0.02180586048;Industry;;
2021;France;Pays de la Loire;Gas;132271217;132271;0.132271217;Services;;
2021;France;Pays de la Loire;Gas;92595018.12;92595;0.09259501812;Services;;
2021;France;Pays de la Loire;Gas;299697613.2;299698;0.2996976132;Services;;
2021;France;Pays de la Loire;Gas;105640.49;106;0.00010564049;Services;;
2021;France;Pays de la Loire;Gas;865273.09;865;0.00086527309;Services;;
2021;France;Pays de la Loire;Gas;487529.85;488;0.00048752985;Services;;
2021;France;Pays de la Loire;Gas;369669730;369670;0.36966973;Services;;
2021;France;Pays de la Loire;Gas;297198793;297199;0.297198793;Services;;
2021;France;Pays de la Loire;Gas;438386.27;438;0.00043838627;Services;;
2021;France;Pays de la Loire;Gas;3468329.19;3468;0.00346832919;Services;;
2021;France;Pays de la Loire;Gas;37432768.06;37433;0.03743276806;Services;;
2021;France;Pays de la Loire;Gas;214080709.7;214081;0.2140807097;Industry;;
2021;France;Bretagne;Gas;159980529.7;159981;0.1599805297;Agriculture;;
2021;France;Bretagne;Gas;107818.48;108;0.00010781848;Industry;;
2021;France;Bretagne;Gas;4500803.12;4501;0.00450080312;Industry;;
2021;France;Bretagne;Gas;586319.53;586;0.00058631953;Industry;;
2021;France;Bretagne;Gas;42706445.91;42706;0.04270644591;Industry;;
2021;France;Bretagne;Gas;22689251.73;22689;0.02268925173;Industry;;
2021;France;Bretagne;Gas;9731074.84;9731;0.00973107484;Industry;;
2021;France;Bretagne;Gas;22024062.32;22024;0.02202406232;Industry;;
2021;France;Bretagne;Gas;6639587.16;6640;0.00663958716;Industry;;
2021;France;Bretagne;Gas;563764551.6;563765;0.5637645516;Services;;
2021;France;Bretagne;Gas;154275440.6;154275;0.1542754406;Services;;
2021;France;Bretagne;Gas;786248.66;786;0.00078624866;Services;;
2021;France;Bretagne;Gas;7742502.84;7743;0.00774250284;Services;;
2021;France;Bretagne;Gas;937604.16;938;0.00093760416;Services;;
2021;France;Bretagne;Gas;8987910.82;8988;0.00898791082;Services;;
2021;France;Bretagne;Gas;15519488.43;15519;0.01551948843;Services;;
2021;France;Bretagne;Gas;1154774.72;1155;0.00115477472;Services;;
2021;France;Bretagne;Gas;285225370.2;285225;0.2852253702;Services;;
2021;France;Bretagne;Gas;322029582.1;322030;0.3220295821;Services;;
2021;France;Bretagne;Gas;6376915.47;6377;0.00637691547;Agriculture;;
2021;France;Nouvelle-Aquitaine;Gas;19030230.88;19030;0.01903023088;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;61813863.08;61814;0.06181386308;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;108126582.9;108127;0.1081265829;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;7218493.16;7218;0.00721849316;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;1177289444;1177289;1.177289444;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;46156747.36;46157;0.04615674736;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;80591014.07;80591;0.08059101407;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;5371987.03;5372;0.00537198703;Industry;;
2021;France;Nouvelle-Aquitaine;Gas;188965468.4;188965;0.1889654684;Services;;
2021;France;Nouvelle-Aquitaine;Gas;34301652.89;34302;0.03430165289;Services;;
2021;France;Nouvelle-Aquitaine;Gas;91191291.9;91191;0.0911912919;Services;;
2021;France;Nouvelle-Aquitaine;Gas;47827283.77;47827;0.04782728377;Services;;
2021;France;Nouvelle-Aquitaine;Gas;2054264.7;2054;0.0020542647;Services;;
2021;France;Nouvelle-Aquitaine;Gas;10802069.4;10802;0.0108020694;Services;;
